               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.046659,             0.10315,                   0,             0.96219,             0.91262,             0.97056,             0.61189,            0.037902,            0.069836,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.046333,             0.10865,                   0,             0.96198,             0.93457,              0.9791,             0.60891,            0.037798,            0.068644,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.045624,             0.10517,                   0,             0.96573,             0.93209,              0.9763,             0.59619,             0.03776,            0.068636,                   0,             0.00736,             0.00736,             0.00736
                  42,             0.04624,             0.10944,                   0,             0.96471,             0.93431,             0.97978,             0.63902,            0.036223,            0.067327,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.046607,             0.10341,                   0,             0.97139,             0.93597,             0.98147,             0.64009,            0.036583,            0.067756,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.046137,             0.10981,                   0,             0.96848,             0.93581,             0.98085,             0.61959,               0.037,            0.067463,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.045547,             0.10554,                   0,             0.97038,              0.9366,             0.98165,             0.62867,             0.03677,            0.066846,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.046719,             0.10238,                   0,             0.97268,              0.9373,             0.98143,             0.59491,             0.03841,            0.067732,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.045881,             0.10472,                   0,              0.9677,             0.93233,              0.9779,             0.58235,            0.039103,            0.068227,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.046396,             0.10982,                   0,             0.97049,             0.93288,             0.98013,             0.63123,            0.036788,            0.066816,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.044484,             0.10184,                   0,             0.97369,             0.93564,             0.98092,             0.60044,            0.037643,            0.067478,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.045643,             0.10409,                   0,             0.96815,              0.9343,             0.98065,             0.61751,             0.03772,            0.067538,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.044721,             0.10142,                   0,             0.96886,             0.93219,             0.97968,             0.59848,            0.038327,            0.067841,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.044785,              0.1048,                   0,             0.97038,             0.95107,             0.98393,             0.63535,            0.036279,            0.066206,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.044775,             0.10517,                   0,             0.97462,             0.94253,             0.98258,             0.63171,             0.03699,            0.066367,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.043528,             0.10297,                   0,             0.97263,             0.94267,             0.98341,             0.64207,            0.036341,            0.066572,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.044449,            0.095451,                   0,             0.97215,             0.94363,             0.98403,             0.63166,            0.037257,            0.066698,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.044882,             0.10036,                   0,             0.97079,             0.94129,             0.98283,             0.66127,            0.035156,             0.06582,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.045455,             0.10486,                   0,             0.97301,             0.94542,             0.98384,             0.65642,            0.035274,            0.065202,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.042764,             0.10338,                   0,              0.9771,              0.9384,               0.983,             0.66287,            0.035479,            0.065594,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.041847,            0.096785,                   0,             0.97269,             0.94231,              0.9838,             0.65907,            0.034745,            0.065421,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.042478,             0.10274,                   0,               0.975,             0.94063,             0.98402,             0.67297,            0.034413,            0.065205,                   0,            0.006106,            0.006106,            0.006106
